co-imf0,co-imf1,co-imf2
-158.85377049713168,1054.097566786771,5585.816116842007
-171.85667453735715,1054.4804177967928,5586.428626995876
-141.54382314180376,1053.538346902734,5587.045689493542
-71.37226007195117,1051.3642842562024,5587.667451047583
-21.105632726166803,1047.9135027293714,5588.294058370491
15.873411884232553,1043.1109998265802,5588.925658174753
40.28477482586688,1036.9968219725229,5589.562397172915
39.03985295013096,1029.5344938626927,5590.204422077471
34.928300455347845,1020.7007798694481,5590.851879600941
23.33752894745303,1010.4825888888571,5591.504916455836
32.612821690229666,998.8562562867638,5592.163679354667
68.83687614661478,985.8037172542597,5592.828315009948
85.16907116848074,971.336649994991,5593.498970134187
88.00254105417461,955.438707914026,5594.175791439901
96.35760766274976,938.1654996650059,5594.858925639603
102.96825853267278,919.515873629827,5595.548519445802
110.12177191831954,899.5239865518583,5596.244719571016
119.54329750203128,878.2075568046166,5596.947672727754
118.09020501899735,855.5662305445637,5597.657525628528
105.7014965514004,831.6196127566254,5598.3744249858455
90.59665816587317,806.3502605835504,5599.09851751223
69.97669960129355,779.7682756860031,5599.8299499201885
22.939788839751905,751.8554218882173,5600.56886892223
-51.95719205464545,722.6115884267024,5601.315421230874
-52.191924602217384,692.0220418213023,5602.069753558625
25.96866916812975,660.0805474974671,5602.832012618001
76.44000240201242,626.7766215428296,5603.602345121514
119.14699314811341,592.101487744074,5604.380897781676
68.7088441861427,556.0460409120783,5605.167817310995
-101.90896032284462,518.6011084755419,5605.963250421984
-213.21511295523348,479.7575552600093,5606.767343827166
-285.20585021585646,439.50624969256455,5607.5802442390495
-294.5526590172903,397.83890964409693,5608.402098370141
-201.1128329243615,354.7464880791943,5609.233052932956
-129.61940801636987,310.3767964537071,5610.073254640007
-64.38732021308796,264.83690092278675,5610.922850203807
-14.312101843139573,218.44522635156264,5611.781986336868
-4.53408949020244,171.33669179316666,5612.650809751705
22.254315803488602,123.78915978638166,5613.5294671608235
55.837730645366655,76.00249811875742,5614.418105276741
49.55134796137704,28.175272161003804,5615.316870811968
7.697535955122518,-19.473876116235274,5616.225910479021
36.01043616159218,-66.70750246721528,5617.14537099041
