R2,RMSE,MAE,MAPE,sMAPE
-261.88628792180896,3518812.2913055127,3516281.159930363,92.39055238126235,172.06878149127928
R2,RMSE,MAE,MAPE,sMAPE
-265.91823172005473,3057253.5450102184,3055166.731461348,93.08861260927216,174.51213706271017
R2,RMSE,MAE,MAPE,sMAPE
-264.13647425196075,2994622.750135731,2992207.6523690536,92.75399565953897,173.33931444009275
R2,RMSE,MAE,MAPE,sMAPE
-263.04947851962345,2573969.779889527,2572142.936793419,92.56584813482539,172.66497970337065
R2,RMSE,MAE,MAPE,sMAPE
-266.04576378607607,2900391.6350834602,2898176.158435338,93.09602172511198,174.54101257646803
R2,RMSE,MAE,MAPE,sMAPE
-264.16010744413614,2960706.847049354,2958631.216948431,92.77016601844284,173.36062681353505
R2,RMSE,MAE,MAPE,sMAPE
-80.95314045501713,1630814.5444536752,1627457.0127160563,51.45948689162555,69.35996258123961
R2,RMSE,MAE,MAPE,sMAPE
-78.36030303848626,1628078.9838340213,1624852.4516607404,50.62725696311253,67.83251254558878
