R2,RMSE,MAE,MAPE,sMAPE
-13.202775862897761,1272345.6200078102,1238961.1626145905,96.49264495284653,186.0981357112819
R2,RMSE,MAE,MAPE,sMAPE
-13.06019800649963,1288669.4757038925,1257511.5031639694,96.39589464639562,185.87108196996792
R2,RMSE,MAE,MAPE,sMAPE
-12.937264572248024,1345581.4886590464,1315443.8387124182,96.32843475544928,185.29518342038298
R2,RMSE,MAE,MAPE,sMAPE
-13.042264843128773,1743211.6064785018,1700807.1648094996,96.33714770170033,185.42057472586313
R2,RMSE,MAE,MAPE,sMAPE
-13.019396824521818,1347128.432613302,1316324.9769894076,96.52461604887806,185.8692107107221
R2,RMSE,MAE,MAPE,sMAPE
-12.80458080948485,1501351.617963356,1461785.281279709,95.1213911969879,181.04992688499772
R2,RMSE,MAE,MAPE,sMAPE
-12.830462906001342,1391046.7977198677,1360351.8654837287,96.0313703163122,184.19285628018025
R2,RMSE,MAE,MAPE,sMAPE
-12.89077655393858,1436851.1881271417,1400880.755693982,95.6704328123756,183.22932636586808
R2,RMSE,MAE,MAPE,sMAPE
-12.89653592902642,1353215.1755535612,1321342.7339986544,95.96910453870204,184.26985062773173
R2,RMSE,MAE,MAPE,sMAPE
-12.984615534735013,1581892.1622465362,1542217.4241043157,95.99074702990413,184.40057972524698
R2,RMSE,MAE,MAPE,sMAPE
-12.74520314465386,1505524.9177013924,1471727.849617103,95.66647934972092,183.01997563507643
R2,RMSE,MAE,MAPE,sMAPE
-12.829806736977194,1510151.1650065621,1473523.7033660847,95.6121682034696,182.9957603915961
R2,RMSE,MAE,MAPE,sMAPE
-12.863565198152815,1511993.175804967,1477273.45678805,95.97647306301698,184.2620150330922
R2,RMSE,MAE,MAPE,sMAPE
-13.012314799421427,1350752.0714729114,1317515.5363699195,96.15783790451455,185.00659703407504
R2,RMSE,MAE,MAPE,sMAPE
-13.037115468359966,1351946.9042199054,1317442.5578364648,96.06632788936797,184.66399213953085
R2,RMSE,MAE,MAPE,sMAPE
-12.974618844644107,1732851.143762286,1692653.58716467,96.32711651349368,185.1143898713829
R2,RMSE,MAE,MAPE,sMAPE
-12.961939446570893,1732064.8434081748,1691675.6750361493,96.25875639604729,185.07613733896022
R2,RMSE,MAE,MAPE,sMAPE
-13.015283092897452,1735370.4934260643,1695098.402511168,96.46632952942323,185.54620836463815
R2,RMSE,MAE,MAPE,sMAPE
-13.063623147774523,1738360.6469052404,1695978.7700847897,96.40622990878953,185.5908835448162
R2,RMSE,MAE,MAPE,sMAPE
-13.055138191233507,1737836.1682623064,1695560.6549047462,96.3858088129315,185.59375629079494
R2,RMSE,MAE,MAPE,sMAPE
-13.079142058094522,1739319.504538808,1697869.66497098,96.5673180426236,186.19513580439786
R2,RMSE,MAE,MAPE,sMAPE
-12.889029938891571,1490197.5743730438,1455251.0325559082,95.96818427900409,184.09592233655516
R2,RMSE,MAE,MAPE,sMAPE
-12.776516767275695,1484149.3550147759,1448823.061305321,95.51446318580217,182.89547636620387
R2,RMSE,MAE,MAPE,sMAPE
-12.689617714599667,1474814.4009896114,1444545.0764814485,95.84831940353386,183.46380317408125
R2,RMSE,MAE,MAPE,sMAPE
-12.78285400409679,1479828.1599487104,1443328.705806795,95.37051989593763,181.93067640451576
R2,RMSE,MAE,MAPE,sMAPE
-13.030642067611714,1278837.5522071708,1247757.655677605,96.27034891175727,185.4215200369119
R2,RMSE,MAE,MAPE,sMAPE
-13.07592958561612,1637541.4591286862,1598465.0276580367,96.64516070915337,186.42730000228156
R2,RMSE,MAE,MAPE,sMAPE
-12.934611549114692,1629300.514605761,1593345.9100091567,96.51087424614151,186.1084521477103
R2,RMSE,MAE,MAPE,sMAPE
-13.059470403390081,1638722.3362130546,1602655.5698380696,96.95362300992608,187.51947835068515
R2,RMSE,MAE,MAPE,sMAPE
-13.080695799950245,1639958.8484236351,1603101.8357241792,96.93248863597776,187.33374651621733
R2,RMSE,MAE,MAPE,sMAPE
-13.017453197726173,1426387.855147378,1390048.7295371583,96.13161185473929,185.2305820239858
R2,RMSE,MAE,MAPE,sMAPE
-12.942484311627524,1422568.3998858184,1387407.0155231901,96.01828954367915,184.85420211730317
R2,RMSE,MAE,MAPE,sMAPE
-13.279492517033253,1257287.2711253364,1222171.2138974254,96.55629440698253,186.57168859263416
R2,RMSE,MAE,MAPE,sMAPE
-12.98550453951001,1481065.753092289,1440981.1247853073,95.71915577816242,183.19155231821847
R2,RMSE,MAE,MAPE,sMAPE
-13.102389896784588,1585171.3809891907,1546130.1498250938,96.47351229788624,185.94209733800727
R2,RMSE,MAE,MAPE,sMAPE
-12.850562925166207,1354086.0524580523,1322696.1425987324,95.87640594039308,183.91047434121973
R2,RMSE,MAE,MAPE,sMAPE
-13.004606649573047,1734709.3896014686,1694192.089210228,96.40017225442148,185.44623062955804
R2,RMSE,MAE,MAPE,sMAPE
-12.918026671162055,1532092.2316329128,1495152.1108518622,96.05208003848777,184.45042748915833
R2,RMSE,MAE,MAPE,sMAPE
-13.208955646156552,1644831.7115878826,1602032.4435532368,96.67744169513287,186.8833452320036
R2,RMSE,MAE,MAPE,sMAPE
-12.936733344054659,1533121.4983906858,1495245.2686086837,96.00302255491191,184.20692430545031
R2,RMSE,MAE,MAPE,sMAPE
-12.86407319226287,1623506.8400711878,1587070.2093147743,96.18718928720969,184.86940227976714
R2,RMSE,MAE,MAPE,sMAPE
-13.135705135108477,1643159.1557675549,1605961.9005602994,97.08911489005993,187.7289382900211
R2,RMSE,MAE,MAPE,sMAPE
