co-imf0,co-imf1,co-imf2
3.3794146861445937,-11.551756172604026,703.3850824814579
4.1168532309707,-9.585027895771638,703.3865238860308
5.633632036657683,-7.806991265526749,703.3719748097625
7.971765744769133,-6.17093904758174,703.3412658493526
10.133692535016163,-4.728255835083381,703.2942406240211
12.043997363956985,-3.5741461474262266,703.2307794777817
14.571831804489491,-2.717970824143009,703.150816533253
17.485528953282024,-2.2274149445644866,703.0543719889811
17.820926420760042,-2.1452087544939875,702.9414979318864
15.381323844312284,-2.5112952171280103,702.8122496752525
11.488907401554693,-3.2281950785492395,702.6666825323806
5.324784841335593,-4.2975721099430935,702.5048518165543
2.8122298583645087,-5.584370197869886,702.3268128410716
4.456028844281465,-7.050108600840149,702.1326209192227
4.497805029368497,-8.603853731566518,701.9223343492231
4.2579401916794595,-10.176481005353024,701.6960294359144
-0.531459419217061,-11.715100898766377,701.4538282251474
-11.149997398455888,-13.147677198301412,701.1959359216487
-16.417428257432505,-14.387056790263285,700.9225887725905
-17.05016418687336,-15.365216806592064,700.6340261636439
-12.402472433391386,-16.1327747925695,700.3304874804992
0.12887407039954812,-16.62923650890356,700.0122121088277
5.361252591408033,-16.932789655191335,699.6794394343161
3.364924492497924,-17.03196611040231,699.3324088426423
4.717900684840792,-16.94782556205169,698.9713597194873
6.406512329824022,-16.695162384916767,698.5965314505313
5.623208884148759,-16.31917696899489,698.2081634214551
3.333064869208307,-15.837919820413234,697.8064950179395
1.5122508790156148,-15.31754513404799,697.3917656256642
-0.012217086280732599,-14.785896899082061,696.9642146303099
-1.3180217429669114,-14.331227545682946,696.5240814175575
-1.9126429229334496,-14.000304635829792,696.0716053730869
-1.9467341826703408,-13.799290853246536,695.6070258825791
-1.184667595769623,-13.772868042693965,695.1305823317144
-0.516218538517676,-13.73089494703708,694.6425141061729
0.08177564699292969,-13.657015233502424,694.1430605916355
0.5925732563362894,-13.402845208835119,693.6324611737826
0.7887088934384251,-12.892543859157685,693.1109552382948
0.6338987689447895,-12.104315460021871,692.5787821708523
-0.00895738304330957,-10.970715561268223,692.0361813571354
-0.6478283404376337,-9.57893365049028,691.4833921828254
-1.3309109770540974,-7.883088756572807,690.9206540336017
-1.5224001358809456,-5.965160141099511,690.3482062951457
-1.0628088858838345,-3.8258800481431807,689.7662883531374
-0.4928235079216045,-1.6274417879233094,689.175139593257
0.37106544794549995,0.5921382631774708,688.5749994011859
1.2908531707693829,2.7204516398352103,687.9661071626036
2.202249575239813,4.678678884839519,687.3487022631912
2.6548195844327567,6.351881288558162,686.7230240886288
2.5071575578766647,7.649968906136092,686.0893120245971
1.9672371910654334,8.601735875191768,685.4478054567766
0.846406785590463,9.189025234007797,684.7987437708474
-0.051709102413466074,9.566251853610549,684.1423663524907
-0.7001055739876092,9.743165986376884,683.478912587387
-1.6031210702951293,9.83922485905655,682.808617936972
-2.5803382143167073,9.914818994141786,682.1317021657233
