co-imf0,co-imf1,co-imf2
-378.0539931732503,-877.3228376001764,1396.8657772638949
-350.47026062889256,-867.5982188744008,1396.9633006720271
-313.01143624181867,-856.6260624403963,1397.0567073282773
-261.9620293625747,-844.5509659342918,1397.1459828121249
-207.2531791112448,-831.4020186146921,1397.231112703049
-152.87989706537914,-817.1838964282327,1397.3120825805274
-92.43187769604107,-802.0013477461193,1397.3888780240404
-30.144895362881527,-785.883174663116,1397.4614846130648
21.374937920057825,-768.8842806401815,1397.5298879270806
60.03008354554663,-751.0563740906896,1397.5940735455652
65.01571585772601,-732.4509461989978,1397.6540270479986
29.260239355407336,-713.1195262889871,1397.7097340138587
44.618132456450304,-693.1136404199051,1397.761180022624
110.57381011149042,-672.4848151106174,1397.8083506537741
147.1161116894625,-651.2845768799893,1397.8512314867867
171.17682781713432,-629.5644522468866,1397.8898081011414
176.41101259287916,-607.376002538638,1397.9240660763157
149.33664441601377,-584.7707578569957,1397.9539909917883
146.47344924535253,-561.7999968307779,1397.9795684270389
164.9474577773109,-538.5152322785673,1398.000783961546
193.77020979505548,-514.9688133539532,1398.0176231747876
235.18711277605325,-491.2122740103838,1398.0300716462427
232.54298133320336,-467.29291140418167,1398.0381149553898
221.91904837893128,-443.2620512723368,1398.0417386817078
195.65001267395738,-419.07946626601176,1398.0409284046755
162.44857290266015,-394.7859370396467,1398.0356697037714
113.22021062765927,-370.3780235918067,1398.025948158474
51.50577141713219,-345.869698136413,1398.0117493482624
3.5936716969724287,-321.2834732803194,1397.9930588526142
-27.943090438259837,-296.6305452776912,1397.969862251009
-49.35104345006113,-271.9280770213141,1397.9421451229252
-52.26271671444352,-247.1911835160128,1397.9098930478422
-67.0534039651412,-222.42728503985666,1397.8730916052373
-93.71269865618805,-197.6510992198311,1397.8317263745905
-115.36376779804543,-172.85546121663782,1397.785782935379
-138.40603572002092,-148.05080591744712,1397.7352468670829
-166.51123320655992,-123.217421353914,1397.6801037491798
-198.9686958308995,-98.35789549205299,1397.6203391611493
-191.94204925268693,-73.42593708668875,1397.5559386824693
-141.8389940719057,-48.413203471229735,1397.4868878926188
-79.43948340776907,-23.285905882186114,1397.4131723710761
101.08296101167997,1.977068252379695,1397.3347776973208
167.23961298160103,27.395337368813728,1397.25168945083
146.9806151779924,52.99283148479668,1397.1638932110836
117.49405620427261,78.82807993698876,1397.0713745575604
53.71169526624357,104.9272340859169,1396.9741190697384
5.46184050684235,131.56897019064056,1396.8721123270966
-13.46870928278684,158.87788328242627,1396.7653399091137
-35.859763423605685,187.13661059339023,1396.6537873952677
-44.386899858661266,216.5247423163805,1396.5374403650383
-38.07150004856587,247.27111185812055,1396.416284397903
-15.500404286493414,279.5867772618716,1396.2903050733414
-3.4139345327724735,313.68495257910274,1396.1594879708318
-2.6868822728505712,349.78046042452956,1396.0238186698539
3.8343362895698654,388.19621513164645,1395.8832827498843
8.964167650768587,429.1575406050241,1395.737865790403
0.8452059471866098,472.761897437908,1395.587553370888
-20.236427307743813,518.6252710324304,1395.4323310708191
-8.4615874861752,566.0621913890863,1395.272184469674
-41.50551224799632,614.5979294270514,1395.1070991469314
-31.397826432783955,663.6773499004694,1394.9370606820705
-0.9880385351003333,712.7624578327564,1394.76205465457
0.13592679160869459,761.2621638160801,1394.5820666439076
11.81274586702722,808.6311061414549,1394.3970822295628
22.368732040320225,854.2905763917472,1394.2070869910135
44.486050991179226,897.6792819164576,1394.0120665077395
57.376994202629646,938.2312948458815,1393.8120063592187
180.94957395506995,975.3806890214498,1393.6068921249298
87.54388905064401,1008.5550089221383,1393.3967093843517
43.94337640838327,1037.1878689738437,1393.1814437169626
133.84024455554356,1060.745658359228,1392.9610807022418
175.80150014424888,1078.6977395729918,1392.7356059196677
241.61596339693028,1091.1431595383372,1392.5050049487193
270.9631782771902,1098.3158940713397,1392.2692633688746
191.7980813895748,1100.769421784695,1392.0283667596125
-25.890047102311996,1098.88343205894,1391.7823007004113
-146.9609679141844,1093.1910591759386,1391.5310507707504
-187.3277994768334,1084.144506817679,1391.2746025501083
-140.3009643471106,1072.2171217113068,1391.0129416179636
50.364032179972384,1057.885507595528,1390.746053553795
86.81005876056341,1041.6204541172685,1390.4739239370806
-28.39767516879052,1023.8959646373589,1390.1965383473
-66.04583214642649,1005.1834520668033,1389.9138823639307
-82.10992015549124,985.9558705418269,1389.6259415664526
-92.28657420081763,966.6923842420869,1389.3327015343439
-65.64984303399844,947.8662021006975,1389.034147847083
-51.67731224994349,929.9187992163895,1388.730266084149
-44.805173991141345,913.2856251747351,1388.4210418250193
-56.716884367761054,897.8157137736059,1388.1064606491743
7.18760910125231,883.4748741478338,1387.786508136092
-1.9725473918581073,870.07136178962,1387.4611698652507
27.274611962516705,857.5435891338823,1387.1304314161296
25.921854943797452,845.6909757818676,1386.794278368207
56.218340918578,834.2173254301085,1386.4526963009619
47.90929793322149,822.0191704690509,1386.1056707938724
17.061446040372374,808.0402089572414,1385.7531874264175
-121.69361977543808,791.102257380926,1385.395231778076
-122.9793414332821,770.2307138699313,1385.0317894283264
-78.80660184831447,745.4715325186263,1384.662845956647
19.461022071618547,716.9143252004127,1384.2883869425173
104.54093656974203,684.8413720417833,1383.9083979654154
176.7864697043214,649.3751683489247,1383.5228646048206
131.1018708995805,611.0183373136559,1383.1317724402109
-27.29698341552566,570.5049907167469,1382.735107051065
-50.419384432830796,528.8590889660875,1382.3328540168613
-89.42319837417048,486.91330167595845,1381.9249989170787
-65.69043592116346,445.6711404679621,1381.5115273311962
-55.710353352410436,406.03202841343074,1381.0924248386928
-44.34306943420561,368.8344208987163,1380.6676770190466
-56.35249187573191,334.73848952304826,1380.2372694517358
-42.338166458586954,303.7399991230686,1379.8011877162394
-10.6071161929992,275.8780986642785,1379.3594173920364
5.211339303802729,251.00308824926697,1378.9119440586053
11.118480615993152,229.1510659883907,1378.4587532954251
9.373743208252586,210.21650696531185,1377.9998306819741
-6.19064339371975,194.16891207580198,1377.5351617977308
-9.215005059204437,180.95412879575647,1377.0647322221741
0.40657884733312244,170.52122441318144,1376.5885275347823
14.43396256441449,162.8179398493404,1376.1065333150343
39.19576237825985,157.7936252412013,1375.6187351424085
70.25702037517598,155.4014425105592,1375.125118596386
108.46222971322294,155.59380064645615,1374.6256740771046
102.55861178977602,158.27081282656496,1374.120412111869
46.79835134433227,163.33634756889404,1373.6093591089373
12.112025389134931,170.34517770338698,1373.0925730502902
-11.827169613911439,178.995265593191,1372.5701196002026
-48.001255609194004,188.8117815473994,1372.0420644229564
-85.01719609793076,199.44421596562984,1371.5084731828294
-75.86837117371397,210.5357203748596,1370.9694115441011
-16.14539722523404,221.737365991136,1370.42494517105
18.0655393832905,232.86666788504863,1369.8751397279568
35.16809627169444,243.58953353078695,1369.3200608790992
32.647272966929236,253.6715750704529,1368.759774288757
15.28038969307487,262.83084188397174,1368.1943456212086
11.69057889085121,270.8452972267745,1367.6238405407337
27.229244671981807,277.45011152330255,1367.0483247116108
27.37053980956277,282.6928970423656,1366.46786379812
20.533974534993188,286.5281945949283,1365.8825234645403
2.5354356883920808,289.07056556755265,1365.2923693751504
-31.700293226927972,290.30705932449416,1364.697467194229
-57.57652220313247,290.303606008065,1364.0978825860552
-76.24337128470506,289.0724950778806,1363.4936812149094
-88.24461797464721,286.69532885771014,1362.8849287450698
-87.62048332163397,283.1774364346031,1362.271690840815
-64.25868714363699,278.8428812434274,1361.654033166425
-13.92486220146797,273.8720806380718,1361.032021386179
30.61142441757388,268.6090984200345,1360.4057211643553
71.50517759952933,263.28346878383275,1359.775198165234
91.1756358589322,258.1859697592155,1359.1405180530933
80.03745807977116,253.58233259995157,1358.501746492212
59.9479377969819,249.61747994636482,1357.8589491468708
23.248954408040227,246.47476886020766,1357.212191681348
-4.763252361358862,244.14697039344134,1356.5615397599224
-20.157391366375865,242.7908236232342,1355.907059046873
-29.228030499574825,242.47595243730453,1355.2488152064798
-23.631657284233846,243.30425851507516,1354.5868739030216
-26.735074599451906,245.37231846298587,1353.921300800777
-37.771150402243116,248.7684452819493,1353.2521615640253
-35.23559227883254,253.53118625767405,1352.5795218570456
-22.65349808571111,259.67747588280247,1351.903447344117
-25.612074398668767,266.9844973212797,1351.2240036895191
-42.683224796855306,275.3407420254349,1350.5412565575305
-53.749008891083555,284.4419343001603,1349.8552716124311
-63.26955726992437,294.1316884191958,1349.1661145184987
-65.57950118960902,304.15160807872945,1348.4738509400133
-56.92594393786328,314.29535385112894,1347.778546541254
-35.45469841817347,324.33340225674976,1347.0802669864993
2.5507937056003787,334.04471116406,1346.3790779400294
43.19328792626264,343.22221437434246,1345.6750450661227
87.85516563968511,351.64460363039984,1344.968234029058
86.12906168976973,359.12114593936167,1344.2587104931151
29.884401758327016,365.46003243744656,1343.5465401225733
-8.934449178191532,370.7346736443807,1342.8317885817112
-41.64682959300243,374.8432578741107,1342.1145215348074
-38.6699366509269,377.8372772200498,1341.3948046461414
2.6539759604208193,379.6910977637474,1340.6727035799931
5.941975480526935,380.40675876354857,1339.9482840006403
-27.36809595613824,379.9899337690092,1339.2216115723631
-31.844945311547285,378.68489518531646,1338.4927519594405
-21.25472331686377,376.6360910083772,1337.7617708261516
-10.431558057727095,374.1424999386361,1337.0287338367748
9.681385691855327,371.3865420531952,1336.2937066555905
30.571968659767506,368.5974985806546,1335.5567549468767
51.731725730091874,365.99358850317435,1334.8179443749127
62.313830833700706,363.7589744313732,1334.077340603978
58.938765751286425,362.04307117746976,1333.3350092983512
49.471785227860394,360.74656338073925,1332.5910161223126
29.7265429922287,359.94988383175036,1331.84542674014
7.913351769510378,359.57192935020237,1331.098306816113
-15.457702486560255,359.62921709233524,1330.3497220145107
-42.87630677058224,360.095759659644,1329.5997379996122
-72.19545599530974,360.9591218185283,1328.848420435697
-72.19388629144882,362.20551731481885,1328.0958349870432
-39.1089181515137,363.8162727736014,1327.3420473179308
-18.460955948336817,365.7807864450094,1326.5871230926386
-3.9258246139821225,368.08006495066934,1325.831127975446
-9.184027922997373,370.70048775271005,1325.074127630632
-44.642942042958815,373.62580546288484,1324.3161877224752
-63.88161912961414,376.8458833359524,1323.5573739152555
-71.60724146333779,380.34571316061334,1322.7977518732523
-79.48125211536298,384.0493307026091,1322.0373872607433
-78.83537707507826,387.93676451700975,1321.2763457420085
