co-imf0,co-imf1,co-imf2
-105.80381504356994,115.78490765376705,3057.522313497837
-102.8228098656407,115.07024093713969,3056.7651937011506
-95.29489247836715,110.58189533977355,3056.030239112766
-84.38788170064561,102.85258182408636,3055.3175815237028
-63.160120571915385,92.16934892879135,3054.6273527249855
-30.966323368237962,78.72260832905079,3053.9596845076353
-6.298488183891042,63.06891789394861,3053.314708662676
11.203053217832796,45.47925246338265,3052.692556981131
36.358791412269866,26.325036583998184,3052.093361254021
65.73767613639956,5.964051897506636,3051.517253272371
92.5395214230858,-15.175162303388063,3050.964364827203
118.28471465111497,-36.72774291208363,3050.4348277095405
128.98492871893836,-58.19332120420357,3049.9287737104055
122.00056954032277,-79.17634029269988,3049.4463346208204
90.57144645957041,-99.06742284451363,3048.9876422318084
28.63919424627677,-117.42143793924545,3048.552828334393
-133.27244201578884,-133.76166702062568,3048.142024719597
-141.95314345694698,-147.59591607199513,3047.7553631784417
-133.88878426472485,-158.41657728211894,3047.3929755019517
-96.27388513019439,-165.73637948675608,3047.054993481147
-50.343286298343976,-169.3321738287584,3046.741548907055
-17.648057128986842,-169.2204764725577,3046.452773570696
8.228625935648516,-166.1675819955825,3046.1887992630927
10.283651604571599,-160.26005378799894,3045.9497577752686
17.250112487449233,-152.14348005454605,3045.735780898245
23.19819194277821,-142.14825319413538,3045.547000423044
31.476457111603317,-130.7180333757674,3045.3835481406923
46.3318636679207,-118.2721422937029,3045.2455558422107
53.46004105857284,-105.25055736537117,3045.1331553186233
54.47808736904243,-92.07746832552738,3045.0464783609514
44.48222770920936,-79.32159140481525,3044.985656760216
20.06961020466866,-67.42620089667648,3044.9508223074426
0.7683418704630292,-57.14710580161588,3044.9421067936532
-14.654555596910626,-48.99408818085735,3044.959642009871
-37.26162503186227,-43.57828859124996,3045.003559747118
-63.56905837201279,-41.485931192100736,3045.0739917964183
-58.001596113394896,-43.02882880572045,3045.1710699487935
-18.07285827953307,-48.25221462341102,3045.294925995268
9.658174121187322,-56.445482896372525,3045.445691726862
29.286721766632592,-67.57702509259616,3045.6234989346012
44.35181545748969,-81.0527550082702,3045.828479409506
44.59698994240168,-96.59643988499376,3046.0607649426015
37.62698782077889,-113.73303864742493,3046.3204873249088
23.160662894984796,-132.08787491269558,3046.6077783474534
3.9780002156443786,-151.23696320514367,3046.9227698012496
-18.132076803057497,-170.77690191600703,3047.2655912195232
-6.323969352029412,-190.28314846132548,3047.63632372225
-30.305736271080125,-209.34546394924757,3048.0348886437732
-43.09076278446488,-227.63165622328557,3048.461167936432
-57.22011274529727,-244.73571647612766,3048.9150309713013
-66.1480189789717,-260.19850113105616,3049.3962967942084
-66.36906766903535,-273.6289968569482,3049.9047718697184
-47.775540048923574,-285.0192917948561,3050.4402626623546
-6.067041834019072,-294.0342397372734,3051.0025756366813
14.772391616641627,-301.1323924138311,3051.5915172572277
15.666919122871551,-306.14959651104306,3052.2068939885453
18.131347956721278,-309.47385615517777,3052.848512295178
12.757248438140284,-311.15902345181604,3053.5161786416697
7.508225289113177,-311.40230911307,3054.2096994925646
3.9205267806451722,-310.3557277937283,3054.9288813124085
11.633412191003945,-308.18280760714003,3055.6735305657426
34.31811525314711,-305.0449209537793,3056.443453717113
45.39027224644487,-301.1009592348237,3057.238457231065
46.98409004820914,-296.51221420559773,3058.058347572144
45.96550953631354,-291.45161420406725,3058.9029312048924
36.96416480145176,-286.0809786015027,3059.772014593856
32.27606477284243,-280.46599681280475,3060.6654042035784
