Date,Open,High,Low,Close,Volume
2020-01-02,11906.990234375,12437.604772448753,11906.990234375,12352.706446356951,799000
2020-01-03,11970.6640625,12267.80820589539,11906.990317486701,11970.6640625,1282400
2020-01-06,11461.2734375,11970.663368055555,11461.2734375,11970.663368055555,1109400
2020-01-07,11376.375,11673.519123134327,11227.802938432835,11461.273320895521,1397200
2020-01-08,11312.7021484375,11376.375894113507,11206.579238977485,11376.375894113507,863000
2020-01-09,11758.4169921875,11864.539889228903,11333.925404021886,11418.82372165501,1684800
2020-01-10,11609.8447265625,11970.662569984004,11588.620147537706,11885.764253884827,786000
2020-01-13,11631.0693359375,11737.19223133839,11546.171019616788,11609.844756857321,909000
2020-01-14,11206.578125,11800.866358901516,11206.578125,11631.06972064394,1623200
2020-01-15,10633.513671875,11206.577282934131,10633.513671875,11206.577282934131,2131200
2020-01-16,10760.8623046875,10994.332689996301,10633.51482179179,10633.51482179179,1389300
2020-01-17,10930.6591796875,10973.108341550364,10739.637951304612,10760.862532236044,715700
2020-01-20,10697.189453125,11036.782769097223,10612.291124131945,10951.884440104168,1476400
2020-01-21,10484.943359375,10824.536666561235,10421.269614277582,10697.189176366397,785900
2020-01-22,10548.6171875,10612.290933098591,10315.14678697183,10484.943441901409,967100
2020-01-23,10548.6171875,10760.863006161971,10527.392605633804,10697.18926056338,416700
2020-01-24,10251.4716796875,10548.615786345108,10209.022521593557,10548.615786345108,514300
2020-01-27,9826.9814453125,10251.473084418873,9763.307699446545,10251.473084418873,1244400
2020-01-28,10018.0009765625,10060.45013324285,9126.568686275159,9848.204349841102,1625300
2020-01-29,10018.0009765625,10145.348446603548,9763.306036480402,9763.306036480402,985700
2020-01-30,10124.1240234375,10209.022338099448,9933.102815448112,9975.551972779087,1034400
2020-01-31,10081.673828125,10124.122981085526,9784.529757401315,10124.122981085526,457500
2020-02-03,9678.4091796875,10018.002484237939,9593.51085354989,10018.002484237939,372300
2020-02-04,9551.0615234375,9826.981078559027,9466.163198784723,9826.981078559027,413700
2020-02-05,9996.7763671875,10018.000945461783,9551.060223427548,9572.284801701831,946300
